(Thu Aug  3 11:33:40 2023, 0, root, stdhex, 103.65.228.53, -1, 60),
(Thu Aug  3 11:51:44 2023, 0, root, greip, 103.65.228.53, -1, 50),
(Thu Aug  3 11:59:02 2023, 1, root, greip, 103.65.228.53, -1, 30),
(Thu Aug  3 12:19:03 2023, 2, root, greip, 103.65.228.53, -1, 30),
(Thu Aug  3 12:51:59 2023, 0, root, greip, 103.65.228.53, -1, 30),
(Thu Aug  3 12:53:26 2023, 1, root, udp, 103.65.228.53, -1, 40),
(Thu Aug  3 12:57:42 2023, 2, root, tcpstomp, 66.70.205.227, -1, 30),
(Thu Aug  3 13:01:05 2023, 3, root, stdhex, 66.70.205.227, -1, 30),
(Thu Aug  3 13:20:03 2023, 0, root, tcpsyn, 80.82.76.67, -1, 30),
(Thu Aug  3 13:22:06 2023, 1, root, greip, 80.82.76.67, -1, 40),
(Thu Aug  3 13:37:44 2023, 2, root, greip, 80.82.76.67, -1, 30),
(Thu Aug  3 22:06:00 2023, 3, root, greip, 80.82.76.67, -1, 40),
(Thu Aug  3 22:13:26 2023, 4, root, tcpack, 185.224.128.151, -1, 30),
(Thu Aug  3 22:35:56 2023, 5, root, tcpack, 74.91.119.237, -1, 30),
(Thu Aug  3 23:39:18 2023, 6, root, stdhex, 145.40.93.33, -1, 30),
(Thu Aug  3 23:42:51 2023, 7, root, stdhex, 38.154.242.34, -1, 30),
(Thu Aug  3 23:46:41 2023, 8, root, tcpbypass, 38.154.242.34, -1, 30),
(Fri Aug  4 00:15:15 2023, 0, root, tcpbypass, 51.222.104.47, -1, 30),
(Fri Aug  4 00:29:22 2023, 1, root, udp, 74.74.74.74, -1, 80),
(Fri Aug  4 00:30:11 2023, 2, root, udpvse, 38.154.242.34, -1, 30),
(Fri Aug  4 00:31:04 2023, 3, root, tcpsyn, 38.154.242.34, -1, 10),
(Fri Aug  4 00:31:27 2023, 4, root, tcpack, 38.154.242.34, -1, 10),
(Fri Aug  4 00:31:51 2023, 5, root, tcpstomp, 38.154.242.34, -1, 10),
(Fri Aug  4 00:32:12 2023, 6, root, tcpstomp, 38.154.242.34, -1, 10),
(Fri Aug  4 00:32:55 2023, 7, root, greip, 38.154.242.34, -1, 10),
(Fri Aug  4 00:33:15 2023, 8, root, greeth, 38.154.242.34, -1, 10),
(Fri Aug  4 00:33:42 2023, 9, root, udpplain, 38.154.242.34, -1, 10),
(Fri Aug  4 00:34:13 2023, 10, root, stdhex, 38.154.242.34, -1, 10),
(Fri Aug  4 00:34:43 2023, 11, root, tcpsyndata, 38.154.242.34, -1, 10),
(Fri Aug  4 00:35:05 2023, 12, root, tcpwra, 38.154.242.34, -1, 10),
(Fri Aug  4 00:35:43 2023, 13, root, icmpecho, 38.154.242.34, -1, 10),
(Fri Aug  4 00:36:09 2023, 14, root, tcbypass, 38.154.242.34, -1, 10),
(Fri Aug  4 00:37:03 2023, 15, root, tcpnull, 38.154.242.34, -1, 10),
(Fri Aug  4 00:37:32 2023, 16, root, tcpstomp, 38.154.242.34, -1, 10),
(Fri Aug  4 00:37:58 2023, 17, root, tcpstomp, 103.65.228.53, -1, 10),
(Fri Aug  4 01:08:08 2023, 18, root, tcpstomp, 103.65.228.53, -1, 10),
(Fri Aug  4 01:36:55 2023, 19, root, stdhex, 103.65.228.53, -1, 30),
(Fri Aug  4 01:38:26 2023, 20, root, greip, 103.65.228.53, -1, 12),
(Fri Aug  4 01:38:46 2023, 21, root, greip, 103.65.228.53, -1, 12),
(Fri Aug  4 01:43:00 2023, 22, root, tcpbypass, 46.166.142.81, -1, 30),
(Fri Aug  4 01:49:23 2023, 23, root, tcpbypass, 46.166.142.81, -1, 14),
(Fri Aug  4 01:50:45 2023, 24, root, tcpwra, 46.166.142.81, -1, 14),
(Fri Aug  4 02:27:13 2023, 25, root, stdhex, 38.154.242.34, -1, 15),
(Fri Aug  4 02:27:58 2023, 26, root, tcpbypass, 46.166.142.81, -1, 20),
(Fri Aug  4 02:39:30 2023, 27, root, stdhex, 38.154.242.34, -1, 15),
(Fri Aug  4 02:40:00 2023, 28, root, stdhex, 34.68.220.187, -1, 15),
(Fri Aug  4 02:40:44 2023, 29, root, tcpbypass, 34.68.220.187, -1, 15),
(Fri Aug  4 04:11:34 2023, 30, root, stdhex, 35.190.199.93, -1, 20),
(Fri Aug  4 04:12:23 2023, 31, root, stdhex, 35.190.199.93, -1, 20),
(Fri Aug  4 04:14:16 2023, 32, root, stdhex, 35.190.199.93, -1, 20),
(Fri Aug  4 04:15:49 2023, 33, root, stdhex, 35.190.199.93, -1, 60),
(Fri Aug  4 04:17:11 2023, 34, root, stdhex, 35.241.216.155, -1, 30),
(Fri Aug  4 04:17:50 2023, 35, root, stdhex, 35.241.216.155, -1, 30),
(Fri Aug  4 04:22:02 2023, 36, root, stdhex, 35.241.216.155, -1, 30),
(Fri Aug  4 04:22:52 2023, 37, root, stdhex, 35.241.216.155, -1, 30),
(Fri Aug  4 04:24:52 2023, 38, root, stdhex, 35.241.216.155, -1, 30),
(Fri Aug  4 04:29:41 2023, 39, root, stdhex, 35.241.216.155, -1, 30),
(Fri Aug  4 04:32:44 2023, 40, root, stdhex, 35.241.216.155, -1, 30),
(Fri Aug  4 04:33:43 2023, 41, root, udpvse, 35.241.216.155, -1, 40),
(Fri Aug  4 04:37:34 2023, 42, root, stdhex, 34.76.41.224, -1, 30),
(Fri Aug  4 04:40:51 2023, 43, root, stdhex, 34.76.41.224, -1, 30),
(Fri Aug  4 04:42:45 2023, 44, root, stdhex, 34.76.41.224, -1, 30),
(Fri Aug  4 04:44:27 2023, 45, root, stdhex, 34.76.41.224, -1, 30),
(Fri Aug  4 05:07:22 2023, 46, root, stdhex, 18.157.26.41, -1, 30),
(Fri Aug  4 05:22:10 2023, 47, root, stdhex, 18.156.252.173, -1, 30),
(Fri Aug  4 05:25:32 2023, 48, root, stdhex, 103.65.228.53, -1, 20),
(Fri Aug  4 06:58:52 2023, 49, root, stdhex, 38.154.242.34, -1, 30),
(Fri Aug  4 09:20:47 2023, 50, root, stdhex, 38.154.242.34, -1, 30),
(Fri Aug  4 09:21:38 2023, 51, root, greip, 38.154.242.34, -1, 10),
(Fri Aug  4 09:22:12 2023, 52, root, stdhex, 103.65.228.53, -1, 10),
(Fri Aug  4 09:24:35 2023, 53, root, udpvse, 103.65.228.53, -1, 20),
(Fri Aug  4 09:29:46 2023, 54, root, stdhex, 103.65.228.53, -1, 20),
(Fri Aug  4 09:31:51 2023, 55, root, tcpbypass, 66.70.205.227, -1, 20),
(Fri Aug  4 09:34:10 2023, 56, root, tcpbypass, 37.187.56.77, -1, 20),
(Fri Aug  4 09:34:34 2023, 57, root, tcpbypass, 37.187.56.77, -1, 15),
(Fri Aug  4 09:56:38 2023, 0, root, stdhex, 80.82.76.67, -1, 30),
(Fri Aug  4 10:19:51 2023, 1, root, tcpbypass, 37.187.56.77, -1, 20),
(Fri Aug  4 10:22:15 2023, 2, root, tcpbypass, 46.166.142.81, -1, 20),
(Fri Aug  4 11:50:39 2023, 3, root, stdhex, 80.82.76.67, -1, 30),
(Fri Aug  4 12:06:55 2023, 4, root, stdhex, 128.116.44.33, -1, 30),
(Fri Aug  4 12:08:25 2023, 5, root, udpvse, 128.116.44.33, -1, 20),
(Fri Aug  4 12:17:03 2023, 6, root, tcpbypass, 37.187.56.77, -1, 20),
(Fri Aug  4 12:52:26 2023, 7, root, tcpbypass, 147.135.119.42, -1, 30),
(Fri Aug  4 13:27:23 2023, 8, root, stdhex, 38.154.242.34, -1, 20),
(Fri Aug  4 13:29:23 2023, 9, root, udp, 103.65.228.53, -1, 20),
(Fri Aug  4 13:30:32 2023, 10, root, stdhex, 103.65.228.53, -1, 20),
(Fri Aug  4 13:36:46 2023, 11, root, tcpbypass, 37.187.56.77, -1, 30),
(Fri Aug  4 23:10:06 2023, 0, root, tcpnull, 46.166.142.81, -1, 20),
(Fri Aug  4 23:17:48 2023, 0, root, udpflood, 80.82.76.67, -1, 20),
(Fri Aug  4 23:18:21 2023, 1, root, plainflood, 80.82.76.67, -1, 20),
(Fri Aug  4 23:18:53 2023, 2, root, hexflood, 80.82.76.67, -1, 10),
(Fri Aug  4 23:24:58 2023, 0, root, syndataflood, 80.82.76.67, -1, 20),
(Fri Aug  4 23:25:32 2023, 1, root, synflood, 80.82.76.67, -1, 10),
